"","text"
"230"," really excited  get    xmas gift love  yamazaki   given   reviewsawards   one  thought  must   one especially given  hard    find   us    best present  could  asked forits hard  say   isnt good  even   isnt phenomenal  perfect     want  old though  old book old pipe resin   enough  perfectly done    perfect malt   like  kind  feel   much   overwhelms   rich influences like bushmills    enough  say im aged    dont like   thats  problemso thats    money  like  mac    sherry feel  even  auchentoshan    terrific vanilla smoothness  slight punch  little  still tasting sidebyside      get  theyre related    way better    like    lotso ill probably keep one   around    keep finding   maybe  one   things  needs  grow     first taste   weeks ago"
"231","    opportunity  try many whiskeys across  world including johnny walkers   colors including blue  yamasaki    smoothest  perfectly balanced whiskey   ever come across  people prefer  peaty finishes  spice moresomething   yamasaki   literal distillation  japanese kaizen refinement  perfection buy  bottle  keep    shelf  celebrate sublime moments  life   bought  new bottle  celebrate  birth   son  look forward  opening   another  years"
"232","   great whisky  maybe im   harsh saying     much   way  made  sherry casks  slight pete smoke   clean pure flavor   produces      said id rather   macallan ruby   macallan    price   youre anything like    read  reviews ill tell     always buy another mac  ruby  mac    cant really live without    find  reaching   range  scotches  times      yamazaki    said    great dram  ill guarantee youll like   ill even rate   stars  however    said    running   burning building   could  take one bottle  whisky   collection id leave  one behind  grab  mac  instead"
"233"," anyone    drinking single malt whisky  scotland give   try soon chances      stuck  love    long timethe way  whisky  made   clean    drunk  effortless   sweet scent  captivates    want   drink   next time  would  realized   whole bottle  finished yes    smooth    leave  tasting notes   individual  experience  "
"234","first time buying whisky online   happy   fast service  good value   websiteyamazaki    super single malt  favourite"
"235","  nose   lots  burnt lemon like   charred   bbq   sweet sherry raisin   touch  pepperon  palette   burnt citrus fruit   like orange  time   complex molasses  spice flavours   finish  aniseed cinnamon  nutmeg lingers   finishan absolute belter   whisky worth  punt    split  cost  share  bottle   good friends"
"236"," recently tried eight japanese whiskeys   first time  narrowed     one   year blended hibiki  price   went   yamazaki  get  hibiki next time   among  best whiskeys ive ever tried    coming   bourbon drinker"
"237","recently came back trip  japan tried  yamazaki yo yo   yo   suntory factory  outside  osaka  distinct flavour  differences yo  nice    best value smoothness  taste yo   rocks   pick compared y yamazaki  yo mccallum yamazaki y    smoothness  pleasant tasteyo     acquired taste    intense oaksmoke favourmy  regret   bringing   bottles back  japan australia doesnt sellhave yo yamazaki readily available  hope  helps"
"238","   first japanese single malt  experienced    quite smooth  pleasant  taste"
"239"," returned   motorcycle trip around japan honshu kyushu  shokuku   needed  burn  spare yen  haneda airport   bought  bottle   yamazaki  year  duty free  cant wait  try "
"240"," tried    first time   weekend      say  holy cow  ive heard   japanese whiskies  never   chance  sample one   flavors  vanilla smoke chocolate sherry oak  honey   passed  glass   friend   refused  give  glass backand  doesnt drink whisky  im buying  bottle  soon    get  hands  one"
"241","absolutely phenom  big oak nice finish"
"242","color  dark ambernose rich  oak   pick    sherry casks  herbal notes   japanese oakpalate   rich  complex  notes  chocolate licorice  fruitfinish  quite long"
"243","   aussie limeburner would   best whiskies ive tasted"
"244"," ever   chance   one bottle   brill dram    price best ive ever "
"245"," taste  heaven tones  raisins  vanilla  rich flavour"
"246"," smooth  complex brilliant"
"247","     favourite absolutely fun   nose  pleasant   taste  well would definitely recommend "
"248","goin "
"249","im new  japanese whiskies    fantastic easily  current favorite  first bottle  almost done      standby  good   type  dram  want  case    case  stop making  full  flavor complexity   probably please  serious scotch drinkers"
"250","    dram   remarkable whiskey  simply put   uniquethe nose    make  feel  excitedthe japanese  nailed  craftthe obsession   whiskey  begun"
"251","smooth decadent  intense  everyting   hpe     yo single malt   one   best whiskies   tried"
"252","  yamazaki  year old   bufallo trace    notes  rum    great"
"253","im  whisky expert  bought  yamazaki    punt due   great reviews   fact   never tasted  jp whisky beforeafter tasting   came   conclusion      good whiskyfirst impressions   rich floral sherry bouquet sweet woody smoothbalancedvery roundedafter finishing  though  would probs  buy  due   high price pointwell    bought  bottle  buffalo traceold bottling   opening  bottle  pouring  glass  noticed instantly    similar   bouquet   yamazaki    floralhoneysherry aromataste wise   similar    burn  spice  probably  due   higher abv    spices addedthis bourbon   great  believe    liked  yamazaki     brainerthe yamazaki   smoother   complex   areas    price  buffalo trace   clear winner   pounds   l"
"254","   far  best whisky   tasted   long time  feel bad saying     scottish   know     got  right  soon   smell  whisky  say   oh boy  gonna  goodgoing  buy  full bottle next month  sure"
"255","great sherried   overly smooth  easy drinking whisky getting   pricey side  days   price asideits delicious  problem   moreishness  easy drinking  lead  slightly overdoing  "
"256"," disagree    comment  yamazaki  year old   heavily peated  lovely dram though  lots going "
"257"," whisky  extremely peated   taste   smooth   see  others like      long finish   otherwise  nice   peated"
"258","much darker  oakier      year old yamazakis     bitter unlike   old dark whiskies ive tried"
"259","simply put  fabulous whiskey well worth  price"
"260","one   fave whiskeysit  intensely sherry  also incredibly complex  shifting  sipssometimes   get  incredible aged parchment dry finish  times  seems like im drinking liquid christmas puddingall    positively schizophrenic whiskey  absolutely blinding"
"261","quite different   scottish drams ive  getting used   doesnt suffer   lots  depth   flavours  come     distinct wavesvery tricky  describe   encountered anything quite like    islayspeyside single malts ive tried  far  would happily recommend   anyone"
"262","managed  pick   bottle  birmingham airport duty free   fantastic find  easily worth double  priceincredibly balanced flavour    "
"263","    star reviews   much time  one     favorite whiskey     paragon  japanese whiskey   paragon  whiskey period   wish   cheaper    life    tried  enjoy many whiskeys    definitely  number "
"264"," must say  fantastic whiskey took   surprise  must try indeed "
"265"," great single malt   surprise  whisky enthusiast well done suntory jim"
"266","one   best examples  japanese whisky ive ever tasted  definitely worth  purchase  two nic"
"267","awesome"
"268","totally fantastic whiskey favourite"
"269","ive    yamazaki distillery  japan   tried    except    year    every day sipping whiskey  prefer      year  unlike  whiskeys theres  real difference       little smoother    year   complex  interesting   regular single malt bottle   deep charred taste   barrel  mellows   time    years  mellowed   much   going     gained complexity     years  like nothing else   seems  change flavor   mouth    minute  unreal     get    year   great inbetween whiskey "
