"","text"
"202"," far  best whisky    far tried    life becomes  search  find something  good  doesnt cost   bottle       rds  bottle   possession  scared  drink   may never  another    youve found anything  good please tell us     clear    ten perfection   glass   lucky  rich enough  get  hands  "
"203","superb"
"204","cant agree    comments  drank    whisky buddies   surely impressed  easy silky smooth  nutty finished  whole bottles  night "
"205","one   best single malt   world  problem   seems   limited supply"
"206","good     amazing ive  better whiskies   "
"207","best whisky   ive    paid way  much      still say   worth    cant buy  stuff   anywhere though   got  hugh great almond vanilla  caramel nose  marshmellow  citrus peel midpalate  solid finish    buy  second bottle  soon   available "
"208"," best whisky   world"
"209","perfectly describes   description  must   anyone  enjoys single malt"
"210","rum  raisin  something else lighter   soft mouth feel utterly delicious  stimulating  lovely long finish "
"211","  little shot worth   stuff    amazing smooth  silk "
"212","solid body extremely long finish must add  water  wake    gets  much  flavoraful beyond  expectation  "
"213","friend defended    nownirs  question  pride want    cost"
"214","tried    local restaurant    hometown jönköping weird    dram  cl   sek worth every penny oak meets fruit sublime"
"215","  best  ive tried def     look   "
"216","yamazaki    best whiskeythe taste  smell  fullness  satisfaction   undescribable"
"217","fantastic taste like  song   palate grows   gradually"
"218"," first time  tried   really couldnt see   fuss    complex way  much going    days later  went back  tried     againand  splash  water really helped nose  japanese plum apricot  bananapalate  like  cricket bat  oak right   eyes    rush  fruitfinish   long  plum  apricot really   good  "
"219","delicious whiskey  couldnt recommend  enough "
"220","  request   inform    whisky  available  "
"221"," tried   yamazaki distillery  fantastic  cheap  worth "
"222","spend   bucks   dram   dont look back "
"223","  get  wont regret "
"224","   overpriced    "
"225"," would love  agree   comments      year   cannoti   double shot   underground retro bar   midosuji side  osaka station  perfect female company   maybe  stuck  nose   far  assaulted   alcohol making  regret  double   price   single purchase   year old grew    guess whatfor half  price   sublime experience get hold   nikka  year oldit   gemim   anti suntory far     year old yamazaki    whisky dreams    year oldsorry  doesnt move  enough"
"226"," wrote  converselytitled review earlier  ive changed  tune   tasting notes  still essentially    ive grown  appreciate        distinctid think almost anyone would  go    stages like     first   eh interesting    really   want     kind  money  however  working  way   whiskey world theres  something    keeps drawing  back   like nothing else  ive ever tasted   nose  sip  swallow    experiencenote    still excellent     completely different way"
"227"," whiskey   best yr  ive tasted    price old pulteney   better   cost less   better finish"
"228","   better  less money"
"229","rev   engine  enjoy   fullest   bottle  take  tastebuds   ride   dont want  stop really makes  enjoy japanese whisky   intrinsic     whisky community malty sultana white grapes cinnamon sticks nutmeg brown sugar   sherry oak flavor goes  smooth  smoke  full  body  look forward  buying another bottle "
